Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","118","Koweït","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1782","A","Chiffre officiel"
"RL","Utilisation des terres","122","Lesotho","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3036","A","Chiffre officiel"
"RL","Utilisation des terres","119","Lettonie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6459.4","A","Chiffre officiel"
"RL","Utilisation des terres","121","Liban","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1045","A","Chiffre officiel"
"RL","Utilisation des terres","123","Libéria","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","11137","A","Chiffre officiel"
"RL","Utilisation des terres","124","Libye","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","175954","A","Chiffre officiel"
"RL","Utilisation des terres","125","Liechtenstein","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","16","A","Chiffre officiel"
"RL","Utilisation des terres","126","Lituanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6530","A","Chiffre officiel"
"RL","Utilisation des terres","256","Luxembourg","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","259","A","Chiffre officiel"
"RL","Utilisation des terres","154","Macédoine du Nord","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2571","A","Chiffre officiel"
"RL","Utilisation des terres","129","Madagascar","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","58729.5","A","Chiffre officiel"
"RL","Utilisation des terres","131","Malaisie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","33039.6","A","Chiffre officiel"
"RL","Utilisation des terres","130","Malawi","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","11848","A","Chiffre officiel"
"RL","Utilisation des terres","132","Maldives","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","30","A","Chiffre officiel"
"RL","Utilisation des terres","133","Mali","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","124019","I","Valeur imputée"
"RL","Utilisation des terres","134","Malte","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","32","A","Chiffre officiel"
"RL","Utilisation des terres","143","Maroc","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44655","T","Chiffre non officiel"
"RL","Utilisation des terres","135","Martinique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","113","A","Chiffre officiel"
"RL","Utilisation des terres","137","Maurice","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","204","A","Chiffre officiel"
"RL","Utilisation des terres","136","Mauritanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","103070","A","Chiffre officiel"
"RL","Utilisation des terres","270","Mayotte","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","37.4","A","Chiffre officiel"
"RL","Utilisation des terres","138","Mexique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","196438","A","Chiffre officiel"
"RL","Utilisation des terres","145","Micronésie (États fédérés de)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","70","A","Chiffre officiel"
"RL","Utilisation des terres","140","Monaco","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","7.492","A","Chiffre officiel"
"RL","Utilisation des terres","141","Mongolie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","156412","A","Chiffre officiel"
"RL","Utilisation des terres","273","Monténégro","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1381","A","Chiffre officiel"
"RL","Utilisation des terres","142","Montserrat","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10","A","Chiffre officiel"
"RL","Utilisation des terres","144","Mozambique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","79938","A","Chiffre officiel"
"RL","Utilisation des terres","28","Myanmar","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","67659","A","Chiffre officiel"
"RL","Utilisation des terres","147","Namibie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","82429","A","Chiffre officiel"
"RL","Utilisation des terres","148","Nauru","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2","A","Chiffre officiel"
"RL","Utilisation des terres","149","Népal","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","14718","A","Chiffre officiel"
"RL","Utilisation des terres","157","Nicaragua","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","13037","A","Chiffre officiel"
"RL","Utilisation des terres","158","Niger","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","126700","A","Chiffre officiel"
"RL","Utilisation des terres","159","Nigéria","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","92377","A","Chiffre officiel"
"RL","Utilisation des terres","160","Nioué","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26","A","Chiffre officiel"
"RL","Utilisation des terres","162","Norvège","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","62521.711","A","Chiffre officiel"
"RL","Utilisation des terres","153","Nouvelle-Calédonie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1858","A","Chiffre officiel"
"RL","Utilisation des terres","156","Nouvelle-Zélande","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26771","A","Chiffre officiel"
"RL","Utilisation des terres","221","Oman","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","30950","A","Chiffre officiel"
"RL","Utilisation des terres","226","Ouganda","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24155","A","Chiffre officiel"
"RL","Utilisation des terres","235","Ouzbékistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44410.3","A","Chiffre officiel"
"RL","Utilisation des terres","165","Pakistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","79610","A","Chiffre officiel"
"RL","Utilisation des terres","180","Palaos","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","46","I","Valeur imputée"
"RL","Utilisation des terres","299","Palestine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","602","A","Chiffre officiel"
"RL","Utilisation des terres","166","Panama","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","7542","I","Valeur imputée"
"RL","Utilisation des terres","168","Papouasie-Nouvelle-Guinée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","46284","A","Chiffre officiel"
"RL","Utilisation des terres","169","Paraguay","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","40675.2","A","Chiffre officiel"
"RL","Utilisation des terres","150","Pays-Bas","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4154","A","Chiffre officiel"
"RL","Utilisation des terres","170","Pérou","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","128522","A","Chiffre officiel"
"RL","Utilisation des terres","171","Philippines","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","30000","A","Chiffre officiel"
"RL","Utilisation des terres","172","Pitcairn","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4.7","A","Chiffre officiel"
"RL","Utilisation des terres","173","Pologne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","31268","A","Chiffre officiel"
"RL","Utilisation des terres","70","Polynésie française","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","347.1","I","Valeur imputée"
"RL","Utilisation des terres","177","Porto Rico","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","887","T","Chiffre non officiel"
"RL","Utilisation des terres","174","Portugal","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","9222.52","A","Chiffre officiel"
"RL","Utilisation des terres","179","Qatar","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1161","A","Chiffre officiel"
"RL","Utilisation des terres","212","République arabe syrienne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","18518","A","Chiffre officiel"
"RL","Utilisation des terres","37","République centrafricaine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","62298","A","Chiffre officiel"
"RL","Utilisation des terres","117","République de Corée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10026.6","A","Chiffre officiel"
"RL","Utilisation des terres","146","République de Moldova","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3385","A","Chiffre officiel"
"RL","Utilisation des terres","250","République démocratique du Congo","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","234486","I","Valeur imputée"
"RL","Utilisation des terres","120","République démocratique populaire lao","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","23680","A","Chiffre officiel"
"RL","Utilisation des terres","56","République dominicaine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4867","A","Chiffre officiel"
"RL","Utilisation des terres","116","République populaire démocratique de Corée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","12054","I","Valeur imputée"
"RL","Utilisation des terres","215","République-Unie de Tanzanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","94730","T","Chiffre non officiel"
"RL","Utilisation des terres","182","Réunion","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","252","A","Chiffre officiel"
"RL","Utilisation des terres","183","Roumanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","23840","A","Chiffre officiel"
"RL","Utilisation des terres","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24361","A","Chiffre officiel"
"RL","Utilisation des terres","184","Rwanda","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2634","A","Chiffre officiel"
"RL","Utilisation des terres","205","Sahara occidental","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26600","T","Chiffre non officiel"
"RL","Utilisation des terres","282","Saint-Barthélemy","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2","A","Chiffre officiel"
"RL","Utilisation des terres","187","Sainte-Hélène, Ascension et Tristan da Cunha","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","39","I","Valeur imputée"
"RL","Utilisation des terres","189","Sainte-Lucie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","62","A","Chiffre officiel"
"RL","Utilisation des terres","188","Saint-Kitts-et-Nevis","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26","A","Chiffre officiel"
"RL","Utilisation des terres","192","Saint-Marin","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6","A","Chiffre officiel"
"RL","Utilisation des terres","281","Saint-Martin (partie française)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","5","A","Chiffre officiel"
"RL","Utilisation des terres","190","Saint-Pierre-et-Miquelon","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24","A","Chiffre officiel"
"RL","Utilisation des terres","94","Saint-Siège","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","0.044","A","Chiffre officiel"
"RL","Utilisation des terres","191","Saint-Vincent-et-les Grenadines","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","39","A","Chiffre officiel"
"RL","Utilisation des terres","244","Samoa","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","284","I","Valeur imputée"
"RL","Utilisation des terres","5","Samoa américaines","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","20","A","Chiffre officiel"
"RL","Utilisation des terres","193","Sao Tomé-et-Principe","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","96","I","Valeur imputée"
"RL","Utilisation des terres","195","Sénégal","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","19671","A","Chiffre officiel"
"RL","Utilisation des terres","272","Serbie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8836","A","Chiffre officiel"
"RL","Utilisation des terres","196","Seychelles","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","46","A","Chiffre officiel"
"RL","Utilisation des terres","197","Sierra Leone","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","7230","T","Chiffre non officiel"
"RL","Utilisation des terres","200","Singapour","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","71.7","A","Chiffre officiel"
"RL","Utilisation des terres","280","Sint Maarten (partie néerlandaise)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3.4","A","Chiffre officiel"
"RL","Utilisation des terres","199","Slovaquie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4903.6","A","Chiffre officiel"
"RL","Utilisation des terres","198","Slovénie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2067.5","A","Chiffre officiel"
"RL","Utilisation des terres","201","Somalie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","63766","A","Chiffre officiel"
"RL","Utilisation des terres","276","Soudan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","187800","I","Valeur imputée"
"RL","Utilisation des terres","277","Soudan du Sud","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","64688.3","I","Valeur imputée"
"RL","Utilisation des terres","38","Sri Lanka","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6561","A","Chiffre officiel"
"RL","Utilisation des terres","210","Suède","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","52844.752","A","Chiffre officiel"
"RL","Utilisation des terres","211","Suisse","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4129","A","Chiffre officiel"
"RL","Utilisation des terres","207","Suriname","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","16382","A","Chiffre officiel"
"RL","Utilisation des terres","208","Tadjikistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","14255","A","Chiffre officiel"
"RL","Utilisation des terres","39","Tchad","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","128400","A","Chiffre officiel"
"RL","Utilisation des terres","167","Tchéquie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","7887","A","Chiffre officiel"
"RL","Utilisation des terres","216","Thaïlande","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","51312","A","Chiffre officiel"
"RL","Utilisation des terres","176","Timor-Leste","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1487","I","Valeur imputée"
"RL","Utilisation des terres","217","Togo","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","5679","I","Valeur imputée"
"RL","Utilisation des terres","218","Tokélaou","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1","A","Chiffre officiel"
"RL","Utilisation des terres","219","Tonga","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","75","A","Chiffre officiel"
"RL","Utilisation des terres","220","Trinité-et-Tobago","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","513","A","Chiffre officiel"
"RL","Utilisation des terres","222","Tunisie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","16361","A","Chiffre officiel"
"RL","Utilisation des terres","213","Turkménistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","48810","I","Valeur imputée"
"RL","Utilisation des terres","223","Turquie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","78535","A","Chiffre officiel"
"RL","Utilisation des terres","227","Tuvalu","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3","A","Chiffre officiel"
"RL","Utilisation des terres","230","Ukraine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","60355","A","Chiffre officiel"
"RL","Utilisation des terres","234","Uruguay","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","17622","A","Chiffre officiel"
"RL","Utilisation des terres","155","Vanuatu","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1219","I","Valeur imputée"
"RL","Utilisation des terres","236","Venezuela (République bolivarienne du)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","91205","I","Valeur imputée"
"RL","Utilisation des terres","237","Viet Nam","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","33096","A","Chiffre officiel"
"RL","Utilisation des terres","249","Yémen","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","52797","I","Valeur imputée"
"RL","Utilisation des terres","251","Zambie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","75261","A","Chiffre officiel"
"RL","Utilisation des terres","181","Zimbabwe","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","39076","A","Chiffre officiel"
